airport,artifact,bytes,dataset,date,kind,month,records,source_file,station,status,url,year
,data/raw/bts_on_time/bts_on_time_2024_04.zip,28540589,BTS On-Time Performance,,,4,,,,downloaded,https://transtats.bts.gov/PREZIP/On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_4.zip,2024
CLT,data/raw/iem_asos/iem_asos_2024_04_CLT.csv,62011,IEM ASOS,,,4,,,CLT,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=CLT&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
DFW,data/raw/iem_asos/iem_asos_2024_04_DFW.csv,62391,IEM ASOS,,,4,,,DFW,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=DFW&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
ATL,data/raw/iem_asos/iem_asos_2024_04_ATL.csv,62247,IEM ASOS,,,4,,,ATL,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=ATL&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
JFK,data/raw/iem_asos/iem_asos_2024_04_JFK.csv,61178,IEM ASOS,,,4,,,JFK,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=JFK&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
LAX,data/raw/iem_asos/iem_asos_2024_04_LAX.csv,61316,IEM ASOS,,,4,,,LAX,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=LAX&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
LGA,data/raw/iem_asos/iem_asos_2024_04_LGA.csv,61005,IEM ASOS,,,4,,,LGA,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=LGA&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
ORD,data/raw/iem_asos/iem_asos_2024_04_ORD.csv,62295,IEM ASOS,,,4,,,ORD,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=ORD&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
EWR,data/raw/iem_asos/iem_asos_2024_04_EWR.csv,60906,IEM ASOS,,,4,,,EWR,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=EWR&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
BOS,data/raw/iem_asos/iem_asos_2025_04_BOS.csv,60690,IEM ASOS,,,4,,,BOS,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=BOS&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2025&month1=4&day1=1&year2=2025&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2025
BWI,data/raw/iem_asos/iem_asos_2025_04_BWI.csv,61471,IEM ASOS,,,4,,,BWI,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=BWI&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2025&month1=4&day1=1&year2=2025&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2025
SFO,data/raw/iem_asos/iem_asos_2024_04_SFO.csv,61609,IEM ASOS,,,4,,,SFO,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=SFO&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=4&day1=1&year2=2024&month2=5&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
